"Class","Name","Description","Mapped US Core Profiles","Mapped US Quality Core Profiles","Mapped US Quality Core Elements"
"Health Status Assessments","Smoking Status","Assessment of a patient's smoking behaviors. Examples include but are not limited to pack- years and current use.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-smokingstatus|9.0.0","",""
"Health Status Assessments","Substance Use","Evaluation of a patient's reported use of drugs or other substances for non-medical purposes or in excess of a valid prescription. Examples include but are not limited to substance use disorder score, and substance use knowledge assessment.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-screening-assessment; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-questionnaireresponse; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-problems-health-concerns","USQualityCoreSimpleObservation.category; USQualityCoreSimpleObservation.category:us-core; USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]; USQualityCoreSimpleObservation.status; USQualityCoreSimpleObservation.effective[x]; USQualityCoreObservationScreeningAssessment.category; USQualityCoreObservationScreeningAssessment.code; USQualityCoreObservationScreeningAssessment.value[x]; USQualityCoreObservationScreeningAssessment.status; USQualityCoreObservationScreeningAssessment.effective[x]; USQualityCoreQuestionnaireResponse.questionnaire; USQualityCoreQuestionnaireResponse.item.answer; USQualityCoreQuestionnaireResponse.item.answer.value[x]; USQualityCoreQuestionnaireResponse.authored; USQualityCoreConditionProblemsHealthConcerns.code"
"Healthcare Information Attributes","Reason Not Performed","Explanation or justification provided when an order or practice guideline is not carried out. Usage note: Should be included with a procedure, immunization, and medication.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedurenotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunizationnotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationnotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedeclined; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-devicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-taskrejected","USQualityCoreProcedureNotDone.statusReason; USQualityCoreProcedureNotDone.extension:recorded; USQualityCoreProcedureNotDone.code.extension:codeOptions; USQualityCoreProcedureNotDone.reasonCode; USQualityCoreProcedureNotDone.reasonReference; USQualityCoreImmunizationNotDone.statusReason; USQualityCoreImmunizationNotDone.status; USQualityCoreImmunizationNotDone.vaccineCode; USQualityCoreImmunizationNotDone.vaccineCode.extension:codeOptions; USQualityCoreImmunizationNotDone.recorded; USQualityCoreMedicationAdministrationNotDone.statusReason; USQualityCoreMedicationAdministrationNotDone.status; USQualityCoreMedicationAdministrationNotDone.medication[x]; USQualityCoreMedicationAdministrationNotDone.medication[x].extension:codeOptions; USQualityCoreMedicationDispenseDeclined.statusReason[x]; USQualityCoreMedicationDispenseDeclined.extension:recorded; USQualityCoreMedicationDispenseDeclined.status; USQualityCoreMedicationDispenseDeclined.medication[x]; USQualityCoreMedicationDispenseDeclined.medication[x].extension:codeOptions; USQualityCoreMedicationProhibited.reasonCode; USQualityCoreMedicationProhibited.doNotPerform; USQualityCoreMedicationProhibited.medication[x]; USQualityCoreMedicationProhibited.medication[x].extension:codeOptions; USQualityCoreServiceProhibited.reasonCode; USQualityCoreServiceProhibited.doNotPerform; USQualityCoreServiceProhibited.code; USQualityCoreServiceProhibited.code.extension:codeOptions; USQualityCoreServiceProhibited.authoredOn; USQualityCoreDeviceRequest.reasonCode; USQualityCoreDeviceRequest.status; USQualityCoreDeviceRequest.code[x]; USQualityCoreDeviceRequest.code[x]:codeCodeableConcept.extension:codeOptions; USQualityCoreDeviceRequest.modifierExtension:doNotPerform; USQualityCoreTaskRejected.statusReason; USQualityCoreTaskRejected.status; USQualityCoreTaskRejected.code; USQualityCoreTaskRejected.code.extension:codeOptions"
"Immunizations","Immunization Record Source","Immunization event information source. Examples include but are not limited to facility administering the immunization and an external record.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunization; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunizationdone","USQualityCoreImmunization.primarySource; USQualityCoreImmunization.location; USQualityCoreImmunizationDone.primarySource; USQualityCoreImmunizationDone.location"
"Immunizations","Immunization Status","State of an immunization event.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunization; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunizationdone","USQualityCoreImmunization.status; USQualityCoreImmunizationDone.status"
"Immunizations","Immunizations","Vaccine product administered, planned, or reported.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunization; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunizationdone","USQualityCoreImmunization.vaccineCode; USQualityCoreImmunizationDone.vaccineCode"
"Immunizations","Lot Number","Sequence of characters representing a specific quantity of manufactured material within a batch of a vaccine product.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunization; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunizationdone","USQualityCoreImmunization.lotNumber; USQualityCoreImmunizationDone.lotNumber"
"Immunizations","Vaccination Administration Date and Time","The date and time the vaccination event occurred.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunization; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunizationdone","USQualityCoreImmunization.occurrence[x]; USQualityCoreImmunizationDone.occurrence[x]"
"Laboratory","Result Interpretation","Categorical assessment of a laboratory value, often in relation to a test's reference range. Examples include but are not limited to high, low, critical high, and normal.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab","USQualityCoreObservationLab.interpretation"
"Laboratory","Result Reference Range","Upper and lower limit of quantitative test values expected for a designated population of individuals.Usage note: Reference range values may differ by patient characteristics, laboratory test manufacturer, and laboratory test performer.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab","USQualityCoreObservationLab.referenceRange"
"Laboratory","Result Status","State or condition of a laboratory test.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-diagnosticreport-lab","USQualityCoreObservationLab.status; USQualityCoreDiagnosticReportLab.status"
"Laboratory","Result Unit of Measure","Unit of measurement to report quantitative results.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab","USQualityCoreObservationLab.value[x]"
"Laboratory","Specimen Condition Acceptability","Information about a specimen, including the container, that is used to determine a laboratory's criteria for acceptability. Usage note: This may include information about the contents of the container, the container, and the label. Examples include but are not limited to hemolyzed, clotted, container leaking, and missing patient name.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-specimen|9.0.0","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab","USQualityCoreObservationLab.specimen"
"Laboratory","Specimen Identifier","Sequence of characters assigned by a laboratory for an individual specimen. Example includes but is not limited to accession number.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-specimen|9.0.0","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab","USQualityCoreObservationLab.specimen"
"Laboratory","Specimen Source Site","Body location from where a specimen was obtained. Examples include but are not limited to right internal jugular, left arm, and right eye.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-specimen|9.0.0","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab","USQualityCoreObservationLab.specimen"
"Laboratory","Specimen Type","Substance being sampled or tested. Examples include but are not limited to nasopharyngeal swab, whole blood, serum, urine, and wound swab.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-specimen|9.0.0","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab","USQualityCoreObservationLab.specimen"
"Laboratory","Tests","Analysis of specimens derived from humans which provide information for the diagnosis, prevention, treatment of disease, or assessment of health.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-diagnosticreport-lab","USQualityCoreObservationLab.category; USQualityCoreObservationLab.category:us-core; USQualityCoreObservationLab.code; USQualityCoreDiagnosticReportLab.category; USQualityCoreDiagnosticReportLab.category:LaboratorySlice; USQualityCoreDiagnosticReportLab.code"
"Laboratory","Values/Results","Documented findings of a tested specimen including structured and unstructured components","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-diagnosticreport-lab","USQualityCoreObservationLab.value[x]; USQualityCoreDiagnosticReportLab.result"
"Laboratory","Laboratory Result Report Date and Time","The date and time when the laboratory result(s) report is made available to inform clinical decision making.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-diagnosticreport-lab","USQualityCoreObservationLab.issued; USQualityCoreDiagnosticReportLab.issued"
"Laboratory","Specimen Collection Date and Time","Date and time the test sample was collected.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-diagnosticreport-lab","USQualityCoreObservationLab.effective[x]; USQualityCoreObservationLab.specimen; USQualityCoreDiagnosticReportLab.effective[x]"
"Medical Devices","Device Type","Kind of instrument, machine, appliance, implant, software, and similar medical device.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-device|9.0.0","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-devicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-devicerequested; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested","USQualityCoreDeviceRequest.code[x]:codeCodeableConcept.extension:codeOptions; USQualityCoreDeviceRequested.code[x]:codeCodeableConcept.extension:codeOptions; USQualityCoreServiceRequest.code.extension:codeOptions; USQualityCoreServiceRequested.code.extension:codeOptions"
"Medical Devices","Unique Device Identifier (UDI)","Numeric or alphanumeric code that uniquely identifies a medical device. Usage note: Contains a device identifier (DI) and one or more production identifiers (PI).","http://hl7.org/fhir/us/core/StructureDefinition/us-core-device|9.0.0","",""
"Medications","Days Supply","Number of days supply of medication dispensed by the pharmacy.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispense; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedicationDispense.daysSupply; USQualityCoreMedicationRequest.dispenseRequest.expectedSupplyDuration; USQualityCoreMedicationRequest.dispenseRequest; USQualityCoreMedicationDispenseDone.daysSupply; USQualityCoreMedicationRequested.dispenseRequest.expectedSupplyDuration; USQualityCoreMedicationRequested.dispenseRequest"
"Medications","Dispense Status","State of a medication with regards to dispensing or other activity. Examples include but are not limited to dispensed, partially dispensed, not dispensed.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispense; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedeclined; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedone","USQualityCoreMedicationDispense.status; USQualityCoreMedicationDispenseDeclined.status; USQualityCoreMedicationDispenseDone.status"
"Medications","Dose","Amount of a medication for each administration.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministration; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispense; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedicationAdministration.dosage; USQualityCoreMedicationAdministration.dosage.dose; USQualityCoreMedicationDispense.dosageInstruction.doseAndRate.dose[x]; USQualityCoreMedicationRequest.dosageInstruction.doseAndRate.dose[x]; USQualityCoreMedicationAdministrationDone.dosage; USQualityCoreMedicationAdministrationDone.dosage.dose; USQualityCoreMedicationDispenseDone.dosageInstruction.doseAndRate.dose[x]; USQualityCoreMedicationRequested.dosageInstruction.doseAndRate.dose[x]"
"Medications","Dose Unit of Measure","Units of measure of a medication. Examples include but are not limited to milligram (mg) and milliliter (mL).","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministration; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispense; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedicationAdministration.dosage.dose; USQualityCoreMedicationDispense.dosageInstruction.doseAndRate.dose[x]; USQualityCoreMedicationRequest.dosageInstruction.doseAndRate.dose[x]; USQualityCoreMedicationAdministrationDone.dosage.dose; USQualityCoreMedicationDispenseDone.dosageInstruction.doseAndRate.dose[x]; USQualityCoreMedicationRequested.dosageInstruction.doseAndRate.dose[x]"
"Medications","Indication","Sign, symptom, or medical condition that is the reason for giving or taking a medication.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedicationRequest.reasonCode; USQualityCoreMedicationRequest.reasonReference; USQualityCoreMedicationRequested.reasonCode; USQualityCoreMedicationRequested.reasonReference"
"Medications","Medication Adherence","Statement of whether a medication has been consumed according to instructions. Examples include but are not limited to taking as directed, taking less than directed, and not taking.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedicationRequest.extension:medicationAdherence; USQualityCoreMedicationRequested.extension:medicationAdherence"
"Medications","Medication Administration","Information about the event of a patient consuming or otherwise being given a medication. Examples include but are not limited to swallowing a tablet, administering an injection, and a long running infusion.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministration; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationnotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationdone","USQualityCoreMedicationAdministration.medication[x]; USQualityCoreMedicationAdministration.status; USQualityCoreMedicationAdministration.dosage; USQualityCoreMedicationAdministration.medication[x].extension:codeOptions; USQualityCoreMedicationAdministrationNotDone.medication[x]; USQualityCoreMedicationAdministrationNotDone.status; USQualityCoreMedicationAdministrationNotDone.dosage; USQualityCoreMedicationAdministrationNotDone.medication[x].extension:codeOptions; USQualityCoreMedicationAdministrationDone.medication[x]; USQualityCoreMedicationAdministrationDone.status; USQualityCoreMedicationAdministrationDone.dosage; USQualityCoreMedicationAdministrationDone.medication[x].extension:codeOptions"
"Medications","Medication Instructions","Directions for administering or taking a medication. Usage note: May include route, quantity, timing/frequency, and special instructions (PRN, sliding scale, taper). Examples include but are not limited to prescription directions for taking a medication, and package instructions for over-the-counter medications.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispense; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedicationDispense.dosageInstruction; USQualityCoreMedicationDispense.dosageInstruction.doseAndRate; USQualityCoreMedicationDispense.dosageInstruction.text; USQualityCoreMedicationDispense.dosageInstruction.timing; USQualityCoreMedicationRequest.dosageInstruction.asNeeded[x]; USQualityCoreMedicationRequest.dosageInstruction; USQualityCoreMedicationRequest.dosageInstruction.doseAndRate; USQualityCoreMedicationRequest.dosageInstruction.doseAndRate.dose[x]; USQualityCoreMedicationRequest.dosageInstruction.text; USQualityCoreMedicationRequest.dosageInstruction.timing; USQualityCoreMedicationRequest.dosageInstruction.timing.repeat; USQualityCoreMedicationRequest.dosageInstruction.timing.repeat.bounds[x]; USQualityCoreMedicationRequest.dosageInstruction.timing.repeat.frequency; USQualityCoreMedicationRequest.dosageInstruction.timing.repeat.frequencyMax; USQualityCoreMedicationRequest.dosageInstruction.timing.repeat.period; USQualityCoreMedicationRequest.dosageInstruction.timing.repeat.periodMax; USQualityCoreMedicationRequest.dosageInstruction.timing.repeat.periodUnit; USQualityCoreMedicationDispenseDone.dosageInstruction; USQualityCoreMedicationDispenseDone.dosageInstruction.doseAndRate; USQualityCoreMedicationDispenseDone.dosageInstruction.text; USQualityCoreMedicationDispenseDone.dosageInstruction.timing; USQualityCoreMedicationRequested.dosageInstruction.asNeeded[x]; USQualityCoreMedicationRequested.dosageInstruction; USQualityCoreMedicationRequested.dosageInstruction.doseAndRate; USQualityCoreMedicationRequested.dosageInstruction.doseAndRate.dose[x]; USQualityCoreMedicationRequested.dosageInstruction.text; USQualityCoreMedicationRequested.dosageInstruction.timing; USQualityCoreMedicationRequested.dosageInstruction.timing.repeat; USQualityCoreMedicationRequested.dosageInstruction.timing.repeat.bounds[x]; USQualityCoreMedicationRequested.dosageInstruction.timing.repeat.frequency; USQualityCoreMedicationRequested.dosageInstruction.timing.repeat.frequencyMax; USQualityCoreMedicationRequested.dosageInstruction.timing.repeat.period; USQualityCoreMedicationRequested.dosageInstruction.timing.repeat.periodMax; USQualityCoreMedicationRequested.dosageInstruction.timing.repeat.periodUnit"
"Medications","Medication Quantity","The amount of medication, including the unit of measure, that is prescribed or dispensed.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispense; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedicationDispense.quantity; USQualityCoreMedicationRequest.dispenseRequest.quantity; USQualityCoreMedicationRequest.dispenseRequest; USQualityCoreMedicationDispenseDone.quantity; USQualityCoreMedicationRequested.dispenseRequest.quantity; USQualityCoreMedicationRequested.dispenseRequest"
"Medications","Medications","Pharmacologic agent used in the diagnosis, cure, mitigation, treatment, or prevention of disease.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medication; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministration; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispense; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedication.code; USQualityCoreMedicationAdministration.medication[x]; USQualityCoreMedicationDispense.medication[x]; USQualityCoreMedicationRequest.medication[x]; USQualityCoreMedicationAdministrationDone.medication[x]; USQualityCoreMedicationDispenseDone.medication[x]; USQualityCoreMedicationRequested.medication[x]"
"Medications","Route of Administration","Physiological administration path of a therapeutic agent into or onto a patient. Examples include but are not limited to oral, topical, and intravenous.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministration; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispense; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedicationAdministration.dosage.route; USQualityCoreMedicationDispense.dosageInstruction.route; USQualityCoreMedicationRequest.dosageInstruction.route; USQualityCoreMedicationAdministrationDone.dosage.route; USQualityCoreMedicationDispenseDone.dosageInstruction.route; USQualityCoreMedicationRequested.dosageInstruction.route"
"Medications","Date and Time Medication Administered","A specific date/time or interval of time during which the administration took place (or did not take place, when the 'notGiven' attribute is true).","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministration; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationnotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationdone","USQualityCoreMedicationAdministration.effective[x]; USQualityCoreMedicationAdministrationNotDone.effective[x]; USQualityCoreMedicationAdministrationDone.effective[x]"
"Medications","Date and Time Medication Prescribed","The date when the prescription was initially written or authored.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedicationRequest.authoredOn; USQualityCoreMedicationRequested.authoredOn"
"Newborn's Delivery Information","Birth Outcome","The clinical status and health indicators of the newborn including clinical event during labor, delivery, and the immediate post-partum period.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Newborn's Delivery Information","Birth Weight","The weight of the infant/fetus at birth/delivery.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Newborn's Delivery Information","Gestational Age at Delivery","Gestational age at delivery refers to how far along the pregnancy is at delivery, generally expressed as a combination of weeks and days.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Newborn's Delivery Information","Birth Date and Time","The recorded date time of birth of the newborn documented in the fetal record.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Orders","Clinical Test Order","Provider-authored request for the performance of a non-laboratory or non-imaging test.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested","USQualityCoreServiceRequest.code; USQualityCoreServiceRequest.status; USQualityCoreServiceRequest.intent; USQualityCoreServiceRequest.authoredOn; USQualityCoreServiceRequest.code.extension:codeOptions; USQualityCoreServiceRequest.doNotPerform; USQualityCoreServiceProhibited.code; USQualityCoreServiceProhibited.status; USQualityCoreServiceProhibited.intent; USQualityCoreServiceProhibited.authoredOn; USQualityCoreServiceProhibited.code.extension:codeOptions; USQualityCoreServiceProhibited.doNotPerform; USQualityCoreServiceRequested.code; USQualityCoreServiceRequested.status; USQualityCoreServiceRequested.intent; USQualityCoreServiceRequested.authoredOn; USQualityCoreServiceRequested.code.extension:codeOptions; USQualityCoreServiceRequested.doNotPerform"
"Orders","Diagnostic Imaging Order","Provider-authored request for the performance of a diagnostic imaging study.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested","USQualityCoreServiceRequest.code; USQualityCoreServiceRequest.status; USQualityCoreServiceRequest.intent; USQualityCoreServiceRequest.authoredOn; USQualityCoreServiceRequest.code.extension:codeOptions; USQualityCoreServiceRequest.doNotPerform; USQualityCoreServiceProhibited.code; USQualityCoreServiceProhibited.status; USQualityCoreServiceProhibited.intent; USQualityCoreServiceProhibited.authoredOn; USQualityCoreServiceProhibited.code.extension:codeOptions; USQualityCoreServiceProhibited.doNotPerform; USQualityCoreServiceRequested.code; USQualityCoreServiceRequested.status; USQualityCoreServiceRequested.intent; USQualityCoreServiceRequested.authoredOn; USQualityCoreServiceRequested.code.extension:codeOptions; USQualityCoreServiceRequested.doNotPerform"
"Orders","Laboratory Order","Provider-authored request for laboratory testing.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested","USQualityCoreServiceRequest.code; USQualityCoreServiceRequest.status; USQualityCoreServiceRequest.intent; USQualityCoreServiceRequest.authoredOn; USQualityCoreServiceRequest.code.extension:codeOptions; USQualityCoreServiceRequest.doNotPerform; USQualityCoreServiceProhibited.code; USQualityCoreServiceProhibited.status; USQualityCoreServiceProhibited.intent; USQualityCoreServiceProhibited.authoredOn; USQualityCoreServiceProhibited.code.extension:codeOptions; USQualityCoreServiceProhibited.doNotPerform; USQualityCoreServiceRequested.code; USQualityCoreServiceRequested.status; USQualityCoreServiceRequested.intent; USQualityCoreServiceRequested.authoredOn; USQualityCoreServiceRequested.code.extension:codeOptions; USQualityCoreServiceRequested.doNotPerform"
"Orders","Medical Device Order","Provider-authored request for medical devices. Examples include but are not limited to therapeutic footwear, insulin infusion pump, and continuous positive airway pressure (CPAP) machine.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-devicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-devicerequested; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-deviceprohibited","USQualityCoreDeviceRequest.code[x]; USQualityCoreDeviceRequest.modifierExtension:doNotPerform; USQualityCoreDeviceRequest.authoredOn; USQualityCoreDeviceRequest.status; USQualityCoreDeviceRequest.intent; USQualityCoreDeviceRequested.code[x]; USQualityCoreDeviceRequested.modifierExtension:doNotPerform; USQualityCoreDeviceRequested.authoredOn; USQualityCoreDeviceRequested.status; USQualityCoreDeviceRequested.intent; USQualityCoreDeviceProhibited.code[x]; USQualityCoreDeviceProhibited.modifierExtension:doNotPerform; USQualityCoreDeviceProhibited.authoredOn; USQualityCoreDeviceProhibited.status; USQualityCoreDeviceProhibited.intent"
